Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,122,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,596,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,1521,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,4186,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,10014,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,16301,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,19091,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,19867,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,2,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,All ages,71700,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,25,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,65,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,152,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,424,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,1563,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,3460,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,4597,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,4269,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,1,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All ages,14556,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,62,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,245,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,649,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,1868,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,3947,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,5992,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,5516,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,4466,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,2,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,All ages,22747,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory failure,J96,0-24,106,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory failure,J96,25-34,424,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory failure,J96,35-44,1078,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory failure,J96,45-54,3153,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory failure,J96,55-64,7632,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory failure,J96,65-74,13264,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory failure,J96,75-84,15835,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory failure,J96,85+,16007,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory failure,J96,Not stated,3,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory failure,J96,All ages,57502,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory arrest,R09.2,0-24,8,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory arrest,R09.2,25-34,24,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory arrest,R09.2,35-44,66,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory arrest,R09.2,45-54,161,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory arrest,R09.2,55-64,377,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory arrest,R09.2,65-74,701,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory arrest,R09.2,75-84,926,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory arrest,R09.2,85+,1159,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Respiratory arrest,R09.2,All ages,3422,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,21,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,52,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,123,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,304,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,759,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,1267,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,1600,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,1845,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,
08/30/2020,02/01/2020,08/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All ages,5971,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,16,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,104,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,475,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,1614,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,4500,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,8157,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,10270,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,85+,12177,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,1,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,All ages,37314,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,2,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,26,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,99,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,443,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,1744,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,3935,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,5799,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,85+,7078,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,2,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,All ages,19128,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrest,I46,0-24,52,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrest,I46,25-34,197,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrest,I46,35-44,496,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrest,I46,45-54,1378,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrest,I46,55-64,3040,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrest,I46,65-74,4764,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrest,I46,75-84,5291,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrest,I46,85+,5815,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrest,I46,Not stated,1,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrest,I46,All ages,21034,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,9,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,23,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,62,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,235,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,757,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,1870,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,3050,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,4394,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All ages,10400,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Heart failure,I50,0-24,5,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Heart failure,I50,25-34,41,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Heart failure,I50,35-44,86,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Heart failure,I50,45-54,288,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Heart failure,I50,55-64,933,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Heart failure,I50,65-74,1902,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Heart failure,I50,75-84,3060,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Heart failure,I50,85+,4741,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Heart failure,I50,Not stated,0,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Heart failure,I50,All ages,11056,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,7,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,24,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,84,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,285,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,921,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,1814,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,2364,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,2584,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,1,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,All ages,8084,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,40,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,103,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,220,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,534,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,1199,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,2058,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,2292,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,2795,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,
08/30/2020,02/01/2020,08/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All ages,9241,
08/30/2020,02/01/2020,08/29/2020,US,Sepsis,Sepsis,A40-A41,0-24,32,
08/30/2020,02/01/2020,08/29/2020,US,Sepsis,Sepsis,A40-A41,25-34,142,
08/30/2020,02/01/2020,08/29/2020,US,Sepsis,Sepsis,A40-A41,35-44,374,
08/30/2020,02/01/2020,08/29/2020,US,Sepsis,Sepsis,A40-A41,45-54,1100,
08/30/2020,02/01/2020,08/29/2020,US,Sepsis,Sepsis,A40-A41,55-64,2553,
08/30/2020,02/01/2020,08/29/2020,US,Sepsis,Sepsis,A40-A41,65-74,4101,
08/30/2020,02/01/2020,08/29/2020,US,Sepsis,Sepsis,A40-A41,75-84,3765,
08/30/2020,02/01/2020,08/29/2020,US,Sepsis,Sepsis,A40-A41,85+,2851,
08/30/2020,02/01/2020,08/29/2020,US,Sepsis,Sepsis,A40-A41,Not stated,0,
08/30/2020,02/01/2020,08/29/2020,US,Sepsis,Sepsis,A40-A41,All ages,14918,
08/30/2020,02/01/2020,08/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,26,
08/30/2020,02/01/2020,08/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,36,
08/30/2020,02/01/2020,08/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,94,
08/30/2020,02/01/2020,08/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,296,
08/30/2020,02/01/2020,08/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,1059,
08/30/2020,02/01/2020,08/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,2034,
08/30/2020,02/01/2020,08/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,2358,
08/30/2020,02/01/2020,08/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,1902,
08/30/2020,02/01/2020,08/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,
08/30/2020,02/01/2020,08/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,All ages,7805,
08/30/2020,02/01/2020,08/29/2020,US,Diabetes,Diabetes,E10-E14,0-24,44,
08/30/2020,02/01/2020,08/29/2020,US,Diabetes,Diabetes,E10-E14,25-34,176,
